threshold,precision,recall,f1,alerts_per_1000
0.1,0.2939914163090129,0.9319727891156463,0.4469820554649266,517.7777777777778
0.15,0.3162162162162162,0.7959183673469388,0.4526112185686654,411.1111111111111
0.2,0.34057971014492755,0.6394557823129252,0.4444444444444444,306.66666666666663
0.25,0.390625,0.5102040816326531,0.4424778761061947,213.33333333333334
0.3,0.44715447154471544,0.3741496598639456,0.4074074074074074,136.66666666666666
0.35,0.49411764705882355,0.2857142857142857,0.3620689655172414,94.44444444444444
0.4,0.5333333333333333,0.21768707482993196,0.30917874396135264,66.66666666666667
0.45,0.5686274509803921,0.19727891156462585,0.29292929292929293,56.666666666666664
0.5,0.6,0.16326530612244897,0.25668449197860965,44.44444444444444
0.55,0.6774193548387096,0.14285714285714285,0.23595505617977527,34.44444444444444
0.6,0.75,0.10204081632653061,0.17964071856287425,22.22222222222222
0.65,0.7857142857142857,0.07482993197278912,0.13664596273291926,15.555555555555555
0.7,0.7777777777777778,0.047619047619047616,0.08974358974358974,10.0
0.75,0.8333333333333334,0.034013605442176874,0.06535947712418301,6.666666666666667
0.8,1.0,0.006802721088435374,0.013513513513513514,1.1111111111111112
0.85,1.0,0.006802721088435374,0.013513513513513514,1.1111111111111112
0.9,0.0,0.0,0.0,0.0
