model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,pr_auc_mean,pr_auc_std
RF_default,0.861111111111111,0.0047303851016462445,0.7340649001536097,0.042748585699442156,0.23940315804722584,0.034579122960722304,0.3592566475880867,0.03942587457724543,0.5136815308797279,0.033541094176898066
RF_balanced,0.8086111111111112,0.017019415202267085,0.4267157817328897,0.03556443387276535,0.4720121686223382,0.015512862973761744,0.44751253482942055,0.024178894903783884,0.47073172876775093,0.039853730970964674
GB_shallow,0.8597222222222222,0.007296625298090963,0.6622708894878706,0.056724396944445796,0.2937128784586412,0.03492488758508479,0.40578380665402375,0.03835404594812064,0.5391780724583696,0.022227824081225575
GB_deep,0.8547222222222223,0.007380739030881366,0.6151378393493033,0.047838993708064916,0.3039403158047226,0.02345895238322933,0.40626272922252504,0.02769762773386477,0.5102684901666763,0.03404743367457581
GB_fast,0.8594444444444443,0.007474235581707634,0.6569165326507962,0.05920119320514758,0.30217296827466317,0.03166294401139624,0.4123673117772266,0.03220269115685748,0.5349720867433525,0.02740018230435849
